id,name,category,focus,ages,levels,min_players,max_players,duration_min,intensity,equipment,description,coaching_points,easier,harder,needs_basket,space,sideline_ok,supervision,game_format
WU01,Dynamic Warm-Up Circuit,warmup,physical;coordination,U9;U11;U13;U14,beginner;intermediate;advanced,4,30,8,low,cones,"Players move baseline to half court and back through a sequence: light jog, high knees, butt kicks, side shuffle both ways, carioca, backwards jog, walking lunges, skips for height, then 2 progressive accelerations.",Quality over speed; land softly; arms active; keep shoulders square on shuffle.,Shorten to 4 movements and walk back between reps.,Add a ball: dribble with the weak hand while doing the movements.,no,full_court,no,medium,
WU02,Ball Tag Warm-Up,warmup,physical;ballhandling,U9;U11;U13,beginner;intermediate;advanced,6,30,6,medium,1 ball each,Everyone dribbles inside the half court. 2 taggers (without ball) try to tag dribblers; tagged players freeze with a wide stance until a teammate dribbles through their legs to free them. Rotate taggers every 60 seconds.,Eyes up; protect the ball with the off arm; change speed to escape.,Taggers walk; use the whole court.,Dribblers must use the weak hand only; taggers can steal the ball instead of tagging.,no,small_area,no,medium,
WU03,Line Weave Warm-Up,warmup,physical;passing_shooting,U11;U13;U14,intermediate;advanced,6,15,6,medium,2 balls,"Three lines on the baseline. Middle player passes to a wing, cuts behind, receives from the other wing, continuous 3-player weave full court; finish with a lay-up, jog back on the sidelines.",Lead the receiver with the pass; hands ready as a target; sprint after the pass.,"Half court only, walking pace, no shot.",Two balls in a weave; or finish with a jump stop and pull-up jumper.,yes,full_court,no,medium,
WU04,Mirror Warm-Up,warmup,physical;coordination;defense,U9;U11;U13;U14,beginner;intermediate;advanced,4,30,5,low,none,"Pairs face each other on a line. One leads with slow movements (shuffles, jumps, touches on the floor, turns), the partner mirrors. Switch leader every 45 seconds, then add speed.",Stay low in athletic stance; react with the whole body; quiet feet.,Leader uses only sideways movements.,Leader may add a jab step or a fake; follower must react within one step.,no,small_area,no,medium,
WU05,Two-Ball Warm-Up Lines,warmup,physical;ballhandling,U11;U13;U14,intermediate;advanced,4,30,7,medium,2 balls per player,"Full court in waves of 4: two-ball dribbling variations (same time, alternate, high-low, one high one low), walk back tossing one ball hand to hand.",Bounce the balls hard and with the fingertips; eyes on the far basket.,"One ball only, working on the weak hand.",Add a change of pace on every free-throw line extended.,no,full_court,no,medium,
WU06,Follow the Leader Dribble,warmup,physical;ballhandling,U9;U11,beginner;intermediate,4,30,6,low,1 ball each,"Groups of 4-5 in a line, each with a ball. The leader dribbles around the gym choosing the path and the move (crossover, spin, behind the back); the group copies. Change leader on the whistle.",Head up; use both hands; keep the dribble low when changing direction.,Leader walks; only strong hand.,Leader adds a stop and a pivot on each cone.,no,full_court,no,medium,
WU07,Rope-less Jump Rope and Foot Fire,warmup,physical;coordination,U9;U11;U13;U14,beginner;intermediate;advanced,4,30,5,medium,none,"On the spot: 30s foot fire (fast small steps), 30s imaginary jump rope, 30s split jumps, 30s star jumps, repeat with a light jog lap in between.",Stay on the toes; quick contacts with the floor; breathe.,20s bouts with 20s rest.,Add a partner who calls a direction to sprint 3 steps on the whistle.,no,small_area,yes,low,
WU08,Partner Passing Jog,warmup,physical;passing_shooting,U9;U11;U13;U14,beginner;intermediate;advanced,4,30,5,low,1 ball per pair,"Pairs jog side by side down the court exchanging chest passes, back with bounce passes, then overhead passes, then one-hand push passes, keeping 3 metres apart.","Step to the pass; thumbs down on the follow-through; catch with the hands, see the ball.",Walk instead of jog.,Add a defender jogging between the two who tries to touch the pass.,no,small_area,no,medium,
WU09,Cone Reaction Warm-Up,warmup,physical;coordination;defense,U11;U13;U14,intermediate;advanced,4,30,6,medium,cones (4 colours),Four coloured cones around each player at 2 metres. Players jog on the spot; the coach calls a colour and the player sprints to touch it and returns to athletic stance. Add two colours in sequence.,First step explosive; low hips when touching the cone; recover quickly.,Walk to the cone.,Coach shows the colour instead of calling it; add a ball to dribble.,no,small_area,no,high,
WU10,Basket Circuit Warm-Up,warmup,physical;passing_shooting,U11;U13;U14,beginner;intermediate;advanced,6,15,8,medium,2 balls,"Two lines at half court. Player 1 dribbles in for a lay-up, rebounds, passes to the next in the other line, who shoots a short jumper; rotate lines. 4 minutes each side.","Take-off on the correct foot; soft touch on the backboard; catch, square, shoot.",Walk into the lay-up from the free-throw line.,Reverse lay-ups and floaters; Euro step.,yes,half_court,no,medium,
